A,B,C,D,E,F,G
e,a,a,b,b,a,f
e,a,a,b,b,a,d
e,a,a,b,b,a,b
e,a,a,b,b,a,d
e,a,a,b,b,a,c
e,a,a,b,b,a,f
e,a,a,b,b,c,c
e,a,b,b,b,d,f
e,a,b,b,c,d,b
e,a,b,b,c,c,a
e,a,b,b,c,c,b
e,a,c,b,c,c,e
e,a,c,b,c,c,f
e,a,c,b,c,c,d
e,a,c,b,c,c,f
e,a,c,b,c,d,b
e,a,c,b,c,d,e
e,a,d,b,c,d,a
e,a,d,b,c,c,c
e,a,d,b,c,b,a
e,a,d,b,c,b,c
e,a,e,b,c,b,a
e,a,e,b,b,b,f
e,a,e,b,b,a,c
f,a,a,b,b,a,f
f,a,a,b,b,a,b
f,a,a,b,b,a,b
f,a,a,b,b,a,f
f,a,a,b,b,a,c
f,a,a,b,b,a,a
f,a,a,b,b,b,e
f,a,b,b,b,c,d
f,a,b,b,c,d,a
f,a,b,b,c,c,c
f,a,b,b,c,c,a
f,a,c,b,c,c,a
f,a,c,b,c,c,b
f,a,c,b,c,c,b
f,a,c,b,c,d,e
f,a,c,b,c,d,a
f,a,c,b,c,d,a
f,a,d,b,c,d,e
f,a,d,b,c,c,c
f,a,d,b,c,b,e
f,a,d,b,c,b,d
f,a,e,b,c,b,d
f,a,e,b,b,b,e
f,a,e,b,b,a,f
g,b,a,b,b,a,a
g,b,a,b,b,a,f
g,b,a,b,b,a,f
g,b,a,b,b,a,c
g,b,a,b,b,a,e
g,b,a,b,b,a,e
g,b,a,b,b,a,c
g,b,b,b,b,a,d
g,b,b,b,b,a,e
g,b,b,b,b,b,a
g,b,b,b,b,b,c
g,b,c,b,c,c,a
g,b,c,b,c,c,c
g,b,c,b,c,c,b
g,b,c,b,c,c,c
g,b,c,b,c,c,a
g,b,c,b,c,c,c
g,b,d,b,c,c,f
g,b,d,b,c,b,a
g,b,d,b,c,b,a
g,b,d,b,c,b,a
g,b,e,b,c,b,d
g,b,e,b,c,b,e
g,b,e,b,b,b,e
a,b,a,b,b,a,a
a,b,a,b,b,a,e
a,b,a,b,b,a,f
a,b,a,b,b,a,f
a,b,a,b,b,a,f
a,b,a,b,b,a,c
a,b,a,c,b,a,a
a,b,b,b,b,a,f
a,b,b,b,b,a,d
a,b,b,b,b,b,f
a,b,b,b,b,b,f
a,b,c,b,b,c,e
a,b,c,b,c,c,b
a,b,c,b,c,c,e
a,b,c,b,c,c,b
a,b,c,b,c,c,b
a,b,c,b,c,c,c
a,b,d,b,c,c,d
a,b,d,b,c,b,d
a,b,d,b,c,b,d
a,b,d,b,c,b,c
a,b,e,b,c,b,d
a,b,e,b,b,a,d
a,b,e,b,b,a,c
b,a,a,b,b,a,f
b,a,a,b,b,a,d
b,a,a,b,b,a,b
b,a,a,b,a,a,a
b,a,a,b,b,a,a
b,a,a,b,b,a,c
b,a,a,b,b,c,f
b,a,b,b,c,d,c
b,a,b,b,c,d,f
b,a,b,b,c,c,c
b,a,b,b,c,c,f
b,a,c,b,c,c,b
b,a,c,b,c,c,d
b,a,c,b,c,c,a
b,a,c,b,c,c,e
b,a,c,b,c,d,d
b,a,c,b,c,d,b
b,a,d,b,c,d,f
b,a,d,b,c,c,d
b,a,d,b,c,b,d
b,a,d,b,c,b,f
b,a,e,b,b,b,c
b,a,e,b,b,b,f
b,a,e,b,b,a,c
c,a,a,b,b,a,f
c,a,a,b,b,a,b
c,a,a,b,b,a,a
c,a,a,b,b,a,f
c,a,a,b,b,a,f
c,a,a,b,b,a,e
c,a,a,b,b,c,a
c,a,b,b,c,d,a
c,a,b,b,c,d,b
c,a,b,b,c,d,b
c,a,b,b,c,c,e
c,a,c,b,c,c,d
c,a,c,b,c,c,c
c,a,c,b,c,c,d
c,a,c,b,c,c,f
c,a,c,a,c,d,d
c,a,c,a,c,d,c
c,a,d,a,c,d,b
c,a,d,b,c,d,b
c,a,d,b,c,b,b
c,a,d,b,c,b,e
c,a,e,b,c,b,c
c,a,e,b,c,b,d
c,a,e,b,b,a,a
d,a,a,b,b,a,f
d,a,a,b,b,a,c
d,a,a,b,b,a,b
d,a,a,b,a,a,c
d,a,a,b,b,a,f
d,a,a,b,b,a,f
d,a,a,b,b,c,e
d,a,b,b,c,d,d
d,a,b,b,c,d,e
d,a,b,b,c,c,f
d,a,b,b,c,c,f
d,a,c,b,c,c,e
d,a,c,b,c,c,f
d,a,c,b,c,c,f
d,a,c,b,c,c,d
d,a,c,b,c,d,f
d,a,c,b,c,d,f
d,a,d,a,c,d,f
d,a,d,b,c,d,d
d,a,d,b,c,b,a
d,a,d,b,c,b,b
d,a,e,b,c,b,b
d,a,e,b,b,b,d
d,a,e,b,b,a,a
e,a,a,b,b,a,c
e,a,a,b,b,a,f
e,a,a,b,b,a,b
e,a,a,b,b,a,a
e,a,a,b,b,a,c
e,a,a,b,b,a,e
e,a,a,b,b,c,e
e,a,b,b,c,d,a
e,a,b,a,c,d,f
e,a,b,a,d,d,f
e,a,b,b,c,c,a
e,a,c,b,c,c,c
e,a,c,b,c,c,e
e,a,c,b,c,c,c
e,a,c,b,c,d,d
e,a,c,b,a,d,e
e,a,c,a,d,d,f
e,a,d,a,d,d,c
e,a,d,a,d,c,a
e,a,d,b,c,c,b
e,a,d,b,c,b,e
e,a,e,b,c,b,e
e,a,e,b,c,b,f
e,a,e,b,b,a,c
f,a,a,b,b,a,b
f,a,a,b,b,a,f
f,a,a,b,b,a,b
f,a,a,b,b,a,f
f,a,a,b,b,a,f
f,a,a,b,b,a,f
f,a,a,b,b,c,c
f,a,b,b,c,d,e
f,a,b,b,c,d,b
f,a,b,b,c,d,b
f,a,b,b,c,c,e
f,a,c,b,c,c,d
f,a,c,b,c,c,e
f,a,c,b,c,c,c
f,a,c,b,c,d,a
f,a,c,b,c,d,e
f,a,c,b,c,d,b
f,a,d,b,c,d,e
f,a,d,b,c,c,f
f,a,d,b,c,c,b
f,a,d,b,c,b,e
f,a,e,b,c,b,b
f,a,e,b,c,b,c
f,a,e,b,c,b,a
g,b,a,b,c,a,c
g,b,a,b,b,a,c
g,b,a,b,b,a,b
g,b,a,b,b,a,c
g,b,a,b,b,a,f
g,b,a,b,b,a,b
g,b,a,b,b,a,e
g,b,b,b,b,a,f
g,b,b,b,b,b,d
g,b,b,b,b,c,a
g,b,b,b,c,c,b
g,b,c,b,c,c,e
g,b,c,b,c,c,a
g,b,c,b,c,c,a
g,b,c,b,c,d,a
g,b,c,b,c,c,c
g,b,c,b,c,c,d
g,b,d,b,c,c,a
g,b,d,b,c,c,d
g,b,d,b,c,b,d
g,b,d,b,c,b,d
g,b,e,b,c,b,c
g,b,e,b,c,b,b
g,b,e,b,c,b,a
a,b,a,b,b,a,e
a,b,a,b,b,a,d
a,b,a,b,b,a,d
a,b,a,c,b,a,c
a,b,a,b,b,a,e
a,b,a,b,b,a,b
a,b,a,b,b,a,e
a,b,b,b,b,a,f
a,b,b,b,b,a,d
a,b,b,b,b,b,c
a,b,b,b,c,b,e
a,b,c,b,c,c,b
a,b,c,b,c,c,e
a,b,c,b,c,d,f
a,b,c,b,c,c,d
a,b,c,b,c,c,b
a,b,c,b,c,c,a
a,b,d,b,c,c,b
a,b,d,b,c,c,a
a,b,d,b,c,b,f
a,b,d,b,c,b,a
a,b,e,b,c,b,c
a,b,e,b,b,b,b
a,b,e,b,b,a,a
b,a,a,b,b,a,b
b,a,a,b,b,a,a
b,a,a,b,b,a,d
b,a,a,b,b,a,d
b,a,a,b,b,a,d
b,a,a,b,b,a,a
b,a,a,b,b,c,f
b,a,b,b,c,d,c
b,a,b,b,c,d,d
b,a,b,b,c,c,b
b,a,b,b,c,c,e
b,a,c,b,c,c,a
b,a,c,b,c,c,b
b,a,c,b,c,c,d
b,a,c,b,c,c,d
b,a,c,b,c,d,d
b,a,c,b,c,d,c
b,a,d,b,c,d,a
b,a,d,b,c,d,b
b,a,d,b,c,b,e
b,a,d,b,c,b,d
b,a,e,b,c,b,d
b,a,e,b,c,b,a
b,a,e,b,b,a,e
c,a,a,b,b,a,b
c,a,a,b,b,a,c
c,a,a,b,b,a,f
c,a,a,b,b,a,c
c,a,a,b,b,a,e
c,a,a,b,b,a,f
c,a,a,b,b,c,e
c,a,b,b,c,d,e
c,a,b,a,d,d,b
c,a,b,a,d,d,d
c,a,b,b,c,c,f
c,a,c,b,c,c,d
c,a,c,b,c,c,e
c,a,c,b,c,c,a
c,a,c,b,c,c,b
c,a,c,b,c,d,a
c,a,c,b,c,d,b
c,a,d,a,d,d,d
c,a,d,a,c,d,c
c,a,d,b,c,b,f
c,a,d,b,c,b,a
c,a,e,b,c,b,e
c,a,e,b,c,b,d
c,a,e,b,b,a,e
d,a,a,b,b,a,b
d,a,a,b,b,a,f
d,a,a,b,b,a,f
d,a,a,b,b,a,c
d,a,a,b,b,a,a
d,a,a,b,b,a,a
d,a,a,b,b,c,e
d,a,b,b,c,d,e
d,a,b,b,c,d,a
d,a,b,b,c,c,e
d,a,b,b,c,c,b
d,a,c,b,c,c,f
d,a,c,b,c,c,f
d,a,c,b,c,c,c
d,a,c,b,c,d,d
d,a,c,b,c,d,d
d,a,c,b,c,d,b
d,a,d,a,c,d,d
d,a,d,b,c,c,c
d,a,d,b,c,b,a
d,a,d,b,c,b,a
d,a,e,b,c,b,e
d,a,e,b,c,b,b
d,a,e,b,b,a,d
e,a,a,b,b,a,a
e,a,a,b,b,a,d
e,a,a,b,b,a,d
e,a,a,b,b,a,b
e,a,a,b,b,a,b
e,a,a,b,b,a,f
e,a,a,b,b,c,e
e,a,b,b,c,d,d
e,a,b,a,d,d,c
e,a,b,b,d,d,a
e,a,b,b,c,c,a
e,a,c,b,c,c,c
e,a,c,b,c,c,b
e,a,c,b,c,c,e
e,a,c,b,c,d,c
e,a,c,b,c,d,b
e,a,c,b,c,d,b
e,a,d,b,c,d,a
e,a,d,b,c,d,c
e,a,d,b,c,c,d
e,a,d,b,c,b,c
e,a,e,b,c,b,d
e,a,e,b,c,b,d
e,a,e,b,b,a,c
f,a,a,b,b,a,c
f,a,a,b,b,a,b
f,a,a,b,b,a,c
f,a,a,b,b,a,d
f,a,a,b,b,a,c
f,a,a,b,b,a,e
f,a,a,b,b,c,f
f,a,b,b,c,d,d
f,a,b,b,c,d,a
f,a,b,b,c,c,c
f,a,b,b,c,c,e
f,a,c,b,c,c,e
f,a,c,b,c,c,e
f,a,c,b,c,c,c
f,a,c,b,c,d,d
f,a,c,b,c,d,b
f,a,c,b,c,d,b
f,a,d,b,c,d,f
f,a,d,b,c,c,a
f,a,d,b,c,c,a
f,a,d,b,c,b,d
f,a,e,b,c,b,d
f,a,e,b,c,b,f
f,a,e,b,c,b,a
g,b,a,b,b,a,f
g,b,a,b,b,a,b
g,b,a,b,b,a,e
g,b,a,b,b,a,a
g,b,a,b,b,a,e
g,b,a,b,b,a,a
g,b,a,b,b,a,f
g,b,b,b,b,a,d
g,b,b,b,b,b,e
g,b,b,b,b,b,c
g,b,b,b,c,c,b
g,b,c,b,c,c,d
g,b,c,b,c,c,d
g,b,c,b,c,c,c
g,b,c,b,c,c,d
g,b,c,b,c,c,e
g,b,c,b,c,c,f
g,b,d,b,c,c,d
g,b,d,b,c,c,f
g,b,d,b,c,b,e
g,b,d,b,c,b,e
g,b,e,b,c,b,d
g,b,e,b,c,b,b
g,b,e,b,c,b,c
a,b,a,b,b,a,f
a,b,a,b,b,a,b
a,b,a,b,b,a,f
a,b,a,b,b,a,c
a,b,a,c,b,a,a
a,b,a,b,b,a,c
a,b,a,b,b,a,b
a,b,b,b,b,a,d
a,b,b,b,b,a,f
a,b,b,b,b,b,d
a,b,b,b,b,b,a
a,b,c,b,c,c,d
a,b,c,b,c,c,f
a,b,c,b,c,c,d
a,b,c,b,c,c,b
a,b,c,b,c,c,d
a,b,c,b,c,c,e
a,b,d,b,c,c,b
a,b,d,b,c,c,b
a,b,d,b,c,b,c
a,b,d,b,b,b,f
a,b,e,b,c,b,e
a,b,e,b,b,b,e
a,b,e,b,b,a,f
b,a,a,b,b,a,d
b,a,a,b,b,a,a
b,a,a,b,b,a,a
b,a,a,b,b,a,d
b,a,a,b,b,a,e
b,a,a,b,b,a,e
b,a,a,b,b,c,a
b,a,b,b,c,d,b
b,a,b,a,d,d,f
b,a,b,a,d,c,d
b,a,b,b,c,c,d
b,a,c,b,c,c,b
b,a,c,b,c,c,a
b,a,c,b,c,c,f
b,a,c,b,c,c,e
b,a,c,b,c,d,b
b,a,c,b,c,d,b
b,a,d,b,c,d,d
b,a,d,b,c,c,b
b,a,d,b,c,b,a
b,a,d,b,c,b,a
b,a,e,b,c,b,b
b,a,e,b,c,b,d
b,a,e,b,b,a,d
c,a,a,b,b,a,c
c,a,a,b,b,a,c
c,a,a,b,b,a,f
c,a,a,b,b,a,a
c,a,a,b,b,a,c
c,a,a,b,b,a,a
c,a,a,b,b,c,a
c,a,b,b,c,d,c
c,a,b,a,d,d,e
c,a,b,a,d,d,f
c,a,b,b,c,c,a
c,a,c,b,c,c,e
c,a,c,b,c,c,e
c,a,c,b,c,c,d
c,a,c,b,c,c,c
c,a,c,b,c,d,c
c,a,c,b,c,d,c
c,a,d,a,d,d,d
c,a,d,a,d,c,f
c,a,d,b,c,c,f
c,a,d,b,c,b,c
c,a,e,b,c,b,a
c,a,e,b,c,b,b
c,a,e,b,c,a,d
d,a,a,b,b,a,e
d,a,a,b,b,a,b
d,a,a,b,b,a,f
d,a,a,b,b,a,b
d,a,a,b,b,a,f
d,a,a,b,b,a,e
d,a,a,b,b,c,e
d,a,b,b,c,d,a
d,a,b,b,c,d,d
d,a,b,b,c,c,b
d,a,b,b,c,c,a
d,a,c,b,c,c,c
d,a,c,b,c,c,e
d,a,c,b,c,c,b
d,a,c,b,c,c,a
d,a,c,b,c,d,f
d,a,c,b,c,d,c
d,a,d,b,c,d,f
d,a,d,b,c,c,c
d,a,d,b,c,b,d
d,a,d,b,c,b,d
d,a,e,b,c,b,c
d,a,e,b,c,b,b
d,a,e,b,c,a,e
e,a,a,b,b,a,d
e,a,a,b,b,a,e
e,a,a,b,b,a,d
e,a,a,b,b,a,c
e,a,a,b,b,a,d
e,a,a,b,b,a,e
e,a,a,b,b,c,e
e,a,b,b,c,d,f
e,a,b,a,d,d,c
e,a,b,a,d,d,f
e,a,b,b,c,c,f
e,a,c,b,c,c,e
e,a,c,b,c,c,a
e,a,c,b,c,c,e
e,a,c,b,a,d,a
e,a,c,b,d,d,e
e,a,c,b,d,d,b
e,a,d,a,d,d,a
e,a,d,b,d,d,d
e,a,d,b,c,c,e
e,a,d,b,c,b,c
e,a,e,b,c,b,a
e,a,e,b,c,b,c
e,a,e,b,c,a,e
f,a,a,b,b,a,b
f,a,a,b,b,a,b
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,f
f,a,a,b,b,a,f
f,a,a,b,b,c,c
f,a,b,b,c,d,f
f,a,b,b,c,d,a
f,a,b,b,c,d,e
f,a,b,b,c,c,c
f,a,c,b,c,c,f
f,a,c,b,c,c,d
f,a,c,b,c,d,d
f,a,c,b,c,d,e
f,a,c,b,d,d,c
f,a,c,b,c,d,d
f,a,d,b,c,d,f
f,a,d,b,c,d,e
f,a,d,b,c,c,c
f,a,d,b,c,b,c
f,a,e,b,c,b,c
f,a,e,b,c,b,e
f,a,e,b,c,b,c
g,b,a,b,c,a,b
g,b,a,b,b,a,d
g,b,a,b,b,a,c
g,b,a,b,b,a,e
g,b,a,b,b,a,a
g,b,a,b,b,a,e
g,b,a,b,b,a,e
g,b,b,b,b,a,a
g,b,b,b,b,b,a
g,b,b,b,c,c,f
g,b,b,b,c,c,f
g,b,c,b,c,c,a
g,b,c,b,c,c,a
g,b,c,b,c,c,d
g,b,c,b,c,c,c
g,b,c,b,c,c,a
g,b,c,b,c,c,d
g,b,d,b,c,c,d
g,b,d,b,c,c,a
g,b,d,b,c,c,a
g,b,d,b,c,b,a
g,b,e,b,c,b,e
g,b,e,b,c,b,d
g,b,e,b,c,b,d
a,b,a,b,c,a,d
a,b,a,c,b,a,c
a,b,a,b,b,a,e
a,b,a,c,b,a,c
a,b,a,c,b,a,f
a,b,a,c,b,a,f
a,b,b,c,b,a,e
a,b,b,b,b,a,a
a,b,b,b,b,b,f
a,b,b,b,c,b,a
a,b,c,b,c,c,c
a,b,c,b,c,c,a
a,b,c,b,c,c,d
a,b,c,b,c,c,b
a,b,c,b,c,c,e
a,b,c,b,c,c,c
a,b,d,b,c,c,a
a,b,d,b,c,c,f
a,b,d,b,c,b,f
a,b,d,b,c,b,c
a,b,e,b,c,b,a
a,b,e,b,c,b,a
a,b,e,b,b,a,f
b,a,a,b,b,a,a
b,a,a,b,b,a,c
b,a,a,b,b,a,c
b,a,a,b,b,a,e
b,a,a,b,b,a,f
b,a,a,b,b,a,c
b,a,a,b,b,c,f
b,a,b,b,c,d,e
b,a,b,a,c,d,c
b,a,b,b,c,d,f
b,a,b,d,c,c,b
b,a,c,d,c,c,b
b,a,c,d,c,c,c
b,a,c,d,c,c,d
b,a,c,d,c,c,a
b,a,c,d,c,d,d
b,a,c,d,c,d,f
b,a,d,c,c,d,f
b,a,d,d,c,c,e
b,a,d,d,c,b,e
b,a,d,c,c,b,e
b,a,e,c,c,b,d
b,a,e,c,c,b,f
b,a,e,c,b,a,c
c,a,a,c,b,a,f
c,a,a,b,b,a,a
c,a,a,b,b,a,c
c,a,a,b,b,a,e
c,a,a,b,b,a,d
c,a,a,c,b,a,e
c,a,a,d,b,c,b
c,a,b,d,c,d,a
c,a,b,c,d,d,c
c,a,b,d,d,d,b
c,a,b,d,c,c,b
c,a,c,d,c,c,b
c,a,c,d,c,c,f
c,a,c,d,c,c,c
c,a,c,d,c,c,d
c,a,c,d,c,d,e
c,a,c,c,d,d,a
c,a,d,b,d,d,a
c,a,d,b,d,d,b
c,a,d,d,c,c,c
c,a,d,c,c,b,c
c,a,e,c,c,b,e
c,a,e,c,c,b,d
c,a,e,c,c,a,e
d,a,a,c,b,a,d
d,a,a,c,b,a,d
d,a,a,b,b,a,b
d,a,a,b,b,a,f
d,a,a,c,b,a,b
d,a,a,c,b,a,e
d,a,a,d,b,c,a
d,a,b,d,c,d,e
d,a,b,d,c,d,d
d,a,b,b,c,d,e
d,a,b,b,c,c,e
d,a,c,b,c,c,f
d,a,c,b,c,c,e
d,a,c,b,c,c,b
d,a,c,b,c,d,b
d,a,c,b,d,d,a
d,a,c,a,d,d,e
d,a,d,a,d,d,c
d,a,d,a,d,c,a
d,a,d,b,c,c,e
d,a,d,b,c,b,b
d,a,e,b,c,b,c
d,a,e,b,c,b,f
d,a,e,b,c,a,b
e,a,a,b,b,a,d
e,a,a,b,b,a,b
e,a,a,b,b,a,d
e,a,a,b,b,a,a
e,a,a,b,b,a,d
e,a,a,b,b,a,c
e,a,a,b,b,c,f
e,a,b,b,c,d,b
e,a,b,a,c,d,c
e,a,b,b,d,d,e
e,a,b,b,c,c,e
e,a,c,b,c,c,c
e,a,c,b,c,c,b
e,a,c,a,c,a,f
e,a,c,b,c,d,d
e,a,c,b,d,d,a
e,a,c,a,d,d,f
e,a,d,a,d,d,e
e,a,d,a,d,d,f
e,a,d,b,c,c,c
e,a,d,b,c,b,a
e,a,e,b,c,b,b
e,a,e,b,c,b,b
e,a,e,b,c,b,a
f,a,a,b,b,a,b
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,c
f,a,a,b,b,b,c
f,a,b,b,b,c,e
f,a,b,b,b,d,c
f,a,b,b,b,c,b
f,a,b,b,b,c,b
f,a,c,b,b,c,b
f,a,c,b,b,d,c
f,a,c,b,b,d,c
f,a,c,b,b,d,a
f,a,c,b,b,d,f
f,a,c,b,b,d,e
f,a,d,b,b,d,c
f,a,d,b,b,c,b
f,a,d,b,b,c,e
f,a,d,b,b,b,c
f,a,e,b,b,b,c
f,a,e,b,b,b,d
f,a,e,b,b,b,a
g,b,a,b,b,a,d
g,b,a,b,b,a,b
g,b,a,b,b,a,d
g,b,a,b,a,a,a
g,b,a,b,a,a,a
g,b,a,b,a,a,c
g,b,a,b,b,a,b
g,b,b,b,b,a,e
g,b,b,b,b,b,b
g,b,b,b,b,b,b
g,b,b,b,b,c,c
g,b,c,b,b,c,e
g,b,c,b,b,c,e
g,b,c,b,b,d,d
g,b,c,b,b,c,d
g,b,c,b,b,c,a
g,b,c,b,b,c,f
g,b,d,b,b,c,a
g,b,d,b,b,c,c
g,b,d,b,b,b,c
g,b,d,b,b,b,a
g,b,e,b,b,b,a
g,b,e,b,b,b,f
g,b,e,b,b,b,e
