Sensor Locations,Lat,Long
ABM01_A10_HRL_CP_S102,52.424886,4.894044
ABM01__A10_LiafrS112_S112NZ_ZO,52.334974,4.936718
ABM01__TF_S108_ingaand,52.337799,4.859481
ABM01__TF_S108_uitgaand,52.336935,4.868636
ABM01__TF_S109_ingaand,52.333281,4.898738
ABM01__TF_S109_uitgaand,52.33823,4.876483
ABM01_A10_knpNM_ReafrS107,52.337944,4.845133
ABM01_A10_LIafrA10_ReafrS113,52.348443,4.970851
ABM01_A10_LiafrS102_LitoeS103,52.395686,4.844055
ABM01_A10_LiafrS107_A4reS107,52.348475,4.841233
ABM01_A10_LiafrS107_LiafrS108,52.348571,4.841271
ABM01_A10_LiafrS107_Riekerpolder,52.348308,4.841036
ABM01_A10_LiafrS108_LiafrS109,52.337754,4.857303
ABM01_A10_LiafrS108_ZAErnst,52.337752,4.857274
ABM01_A10_LiafrS108_ZAMahler,52.337755,4.857333
ABM01_A10_LiafrS108_ZAStrawinskyl,52.337754,4.857318
ABM01_A10_LiafrS109_LiafrS122,52.336026,4.891131
ABM01_A10_LiafrS109_ZAErnst,52.336108,4.890966
ABM01_A10_LiafrS112_GWEG_in,52.334993,4.936768
ABM01_A10_LitoeS103_LiafrS106,52.379946,4.844586
ABM01_A10_LitoeS108_LiafrS109,52.337042,4.857712
ABM01_A10_litoeS116_knpt_CP,52.408544,4.935426
ABM01_A10_PC1086_RetoeS114,52.362748,4.979926
ABM01_A10_re_toeS116_afrS114,52.405268,4.945817
ABM01_A10_ReafrS108_A2_ReafrS107,52.33917,4.867221
ABM01_A10_ReafrS108_ZAErnst,52.339178,4.867412
ABM01_A10_ReafrS109_ReafrS108,52.33377,4.897818
ABM01_A10_ReafrS109_ZAMahler,52.333769,4.897818
ABM01_A10_ReafrS112_Entree,52.337368,4.942773
ABM01_A10_ReafrS112_GooisewZN,52.337419,4.942957
ABM01_A10_ReafrS112_S112NZ_ZO,52.337458,4.943132
ABM01_A10_ReafrS113_ReafrS112,52.342589,4.95444
ABM01_A10_ReafrS114_PC1086,52.367789,4.97224
ABM01_A10_ReafrS116_S116NZ,52.410009,4.931409
ABM01_A10_reafrS116_toeS116,52.410061,4.931307
ABM01_A10_RetoeS108_knpNM,52.339088,4.858129
ABM01_A10_RetoeS109_ReafrS108,52.337579,4.891297
ABM01_A10_RetoeS112_ReafrS109,52.335359,4.93707
ABM01_A10_RetoeS114_ReafrS113,52.363069,4.969705
ABM01_A10_S106WO_LitoeS106,52.357869,4.841082
ABM01_A10li_LiafrS106_LitoeS106,52.36199,4.842255
ABM01_A10li_LitoeS106_LiafrS107,52.354031,4.84249
ABM01_A2_LIafrA9_AMC,52.279773,4.953442
ABM01_A2_LIafrN522_Bijlmerdreef,52.308204,4.928039
ABM01_A2_LIafrN522_Entree,52.308181,4.928062
ABM01_A2_reafrN522_Bijlmerdreef,52.312222,4.923431
ABM01_A2_reafrN522_Entree,52.312281,4.92337
ABM01_A4_LiafrSloten_LiknptNM,52.333926,4.805059
ABM01_A4_LiafrSloten_Riekerpolder,52.334072,4.805298
ABM01_A4_LiBHD_LiafrSloten,52.324701,4.774874
ABM01_A4_LiknptNM_LiafrS108,52.338222,4.829433
ABM01_A8_afrLiOostz_LiafrS102,52.437503,4.861497
ABM01_A8_afrLiOostz_ReafrS116,52.43748,4.861522
ABM01_A9_liafrS111_A9_liafrS112,52.299546,4.947535
ABM01_A9_liafrS112_Bijlmerdreef,52.306647,4.96816
ABM01_A9_reafrS112_A9_reafrS111,52.310421,4.978717
ABM01_A9li_knp_hlnd_AMC,52.285893,4.939138
ABM01_ABM01_A4_ReafrSloten_Riekerp,52.338788,4.820988
ABM01_afrit_A10Li_s102,52.395386,4.843973
ABM01_afrit_A10re_S103,52.380005,4.844856
ABM01_AV_Beneluxbaan_Boelelaan_Nijenrode,52.334879,4.868655
ABM01_AV_Beneluxbaan_Nijenrode_Boelelaan,52.327943,4.869046
ABM01_HR_1-3.b,52.324107,5.063391
ABM01_HR_1-B.b,52.3241,5.063418
ABM01_HR_1-C.b,52.32411,5.063377
ABM01_HR_1-G.a,52.32409,5.063459
ABM01_HR_1-G.b,52.324114,5.063364
ABM01_HR_2-A.b,52.266577,4.961714
ABM01_HR_2-D,52.266696,4.961649
ABM01_HR_2-E.a,52.266611,4.961695
ABM01_HR_2-E.b,52.266619,4.961691
ABM01_HR_3-1.b,52.266785,4.696283
ABM01_HR_3-2.b,52.266731,4.696207
ABM01_HR_3-E,52.266772,4.696264
ABM01_HR_4-A.a,52.378341,4.708302
ABM01_HR_4-A.b,52.378337,4.708544
ABM01_HR_4-B.a,52.378373,4.708538
ABM01_HR_4-B.b,52.378315,4.708306
ABM01_HR_4-I.a,52.378306,4.708307
ABM01_HR_4-I.b,52.378346,4.708543
ABM01_HR_5-1.a,52.437955,4.86099
ABM01_HR_5-A,52.437925,4.861023
ABM01_HR_5-B.a,52.437911,4.86104
ABM01_HR_5-B.b,52.438674,4.860193
ABM01_HR_5-C.a,52.438697,4.860168
ABM01_HR_5-C.b,52.437933,4.861015
ABM01_HR_6-A,52.421731,4.953023
ABM01_HR_6-B.b,52.421621,4.952565
ABM01_HR_6-G.a,52.421617,4.952607
ABM01_HR_6-G.b,52.421624,4.952634
ABM01_HR_A-6,52.391595,4.836403
ABM01_HR_B-1.b,52.372365,4.93391
ABM01_HR_B-6.a,52.371741,4.911223
ABM01_HR_B-6.b,52.372375,4.933951
ABM01_HR_G-6.a,52.320712,4.948061
ABM01_HR_G-6.b,52.320694,4.94801
ABM01_HR_I-4.a,52.342544,4.827561
ABM01_IR_A-B.a,52.391593,4.836535
ABM01_IR_A-B.b,52.384671,4.834837
ABM01_IR_A-C.A,52.384673,4.834911
ABM01_IR_A-C.b,52.384673,4.834955
ABM01_IR_A-D.b,52.391592,4.836638
ABM01_IR_A-E,52.384673,4.834925
ABM01_IR_A-G.a,52.384671,4.834808
ABM01_IR_A-G.b,52.391593,4.836579
ABM01_IR_A-I.a,52.384672,4.834852
ABM01_IR_A-I.b,52.384766,4.833985
ABM01_IR_B-A.a,52.390868,4.884827
ABM01_IR_B-A.b,52.385143,4.881213
ABM01_IR_B-C.a,52.37173,4.874086
ABM01_IR_B-C.b,52.360289,4.908324
ABM01_IR_B-D.a,52.359993,4.908596
ABM01_IR_B-D.b,52.35866,4.90382
ABM01_IR_B-E,52.3601,4.886753
ABM01_IR_B-G.a,52.359984,4.908601
ABM01_IR_B-G.b,52.358651,4.903825
ABM01_IR_B-I.a,52.363755,4.878547
ABM01_IR_B-I.b,52.361319,4.884534
ABM01_IR_C-A.a,52.361098,4.884998
ABM01_IR_C-A.b,52.358285,4.878573
ABM01_IR_C-B.a,52.361092,4.885009
ABM01_IR_C-B.b,52.360067,4.886964
ABM01_IR_C-D.a,52.360085,4.886917
ABM01_IR_C-D.b,52.355978,4.880007
ABM01_IR_C-E,52.35597,4.880015
ABM01_IR_C-G.b,52.360043,4.887014
ABM01_IR_C-I.a,52.358087,4.878327
ABM01_IR_C-I.b,52.356144,4.879771
ABM01_IR_D-A.a,52.348232,4.917675
ABM01_IR_D-A.b,52.348251,4.919705
ABM01_IR_D-B.a,52.348638,4.918557
ABM01_IR_D-B.b,52.348242,4.917698
ABM01_IR_D-C.a,52.348662,4.918494
ABM01_IR_D-C.b,52.348221,4.917652
ABM01_IR_D-E.a,52.348187,4.917583
ABM01_IR_D-E.b,52.348116,4.919412
ABM01_IR_D-G.a,52.348075,4.919334
ABM01_IR_D-I.a,52.348122,4.919423
ABM01_IR_E-A,52.335076,4.868539
ABM01_IR_E-B,52.341036,4.877078
ABM01_IR_E-C,52.341045,4.877078
ABM01_IR_E-D.a,52.335053,4.878921
ABM01_IR_E-G.a,52.335052,4.878892
ABM01_IR_E-H.a,52.334903,4.868655
ABM01_IR_E-H.b,52.335076,4.868525
ABM01_IR_E-I,52.335076,4.868554
ABM01_IR_F-A.a,52.307174,4.760546
ABM01_IR_F-A.b,52.307112,4.760368
ABM01_IR_F-B.a,52.307165,4.760521
ABM01_IR_F-B.b,52.307138,4.760444
ABM01_IR_F-C.a,52.307103,4.760342
ABM01_IR_F-C.b,52.307174,4.760496
ABM01_IR_F-D.a,52.307188,4.760584
ABM01_IR_F-D.b,52.30717,4.760533
ABM01_IR_F-E.a,52.307107,4.760355
ABM01_IR_F-E.b,52.307197,4.76061
ABM01_IR_F-G.b,52.30722,4.76067
ABM01_IR_G-A.b,52.320716,4.948074
ABM01_IR_G-B.a,52.32067,4.947939
ABM01_IR_G-B.b,52.312425,4.935979
ABM01_IR_G-C.b,52.320665,4.947926
ABM01_IR_G-D.a,52.320687,4.94799
ABM01_IR_G-D.b,52.312429,4.935992
ABM01_IR_G-E.a,52.312421,4.935966
ABM01_IR_G-E.b,52.320699,4.948023
ABM01_IR_G-I.a,52.320678,4.947964
ABM01_IR_H-A.a,52.300734,4.870572
ABM01_IR_H-B.a,52.300709,4.870556
ABM01_IR_H-B.b,52.303189,4.857048
ABM01_IR_H-C.a,52.30357,4.857143
ABM01_IR_H-C.b,52.300667,4.870529
ABM01_IR_H-D.b,52.300717,4.870562
ABM01_IR_H-E.b,52.303529,4.857157
ABM01_IR_H-G.a,52.300725,4.870567
ABM01_IR_H-G.b,52.303225,4.857046
ABM01_IR_H-I.a,52.30075,4.870583
ABM01_IR_H-I.b,52.303243,4.857045
ABM01_IR_I-A.a,52.342699,4.827848
ABM01_IR_I-A.b,52.34269,4.827849
ABM01_IR_I-B.a,52.342645,4.827851
ABM01_IR_I-B.b,52.342717,4.827848
ABM01_IR_I-C.a,52.342708,4.827848
ABM01_IR_I-C.b,52.342663,4.82785
ABM01_IR_I-D.b,52.342681,4.827849
ABM01_IR_I-E,52.342735,4.827848
ABM01_IR_I-G.b,52.342535,4.827561
ABM01_N235_PC1441_LiAB6,52.49667,4.951799
ABM01_N247_A10_litoeS116,52.40923,4.940899
ABM01_N247_A10_retoeS116,52.409206,4.940879
ABM01_N247_Edam_LiAB6,52.50975,5.043637
ABM01_N247_LiAB6_LiS116,52.421296,4.95146
ABM01_N247_LiS116_litoeS116,52.40927,4.940934
ABM01_S102_Toerit_A10re,52.391643,4.844752
ABM01_S103_A10re_Kimpoweg,52.384991,4.845153
ABM01_S103_LiAB4_toeA10Li,52.385763,4.717239
ABM01_S103_PC1013_LitoeS103,52.39042,4.881579
ABM01_S103_toeA10Li_LitoeS103,52.384798,4.842654
ABM01_S106_krS106-S108_Waterloopl,52.357689,4.855648
ABM01_S106_LiafrS106_krS106-S108,52.362026,4.842255
ABM01_S106_pc1065_S106WO,52.357322,4.827545
ABM01_S108_A-damsewegZN_krAmstelv-Nijerodew,52.315466,4.856943
ABM01_S108_krAmstelv-Boele_krAmstelv-Stadionw,52.33512,4.857678
ABM01_S108_krAmstelv-Nijerodew_krAmstelv-Boele,52.327698,4.857486
ABM01_S108_krAmstelv-Stadionw_krParn-Stadionw,52.344946,4.856808
ABM01_S108_krBeeth-Stadionw_krParn-Stadionw,52.346936,4.876885
ABM01_S108_krParn-Stadionw_krAmstelv-Stadionw,52.34652,4.867081
ABM01_S108_krParn-Stadionw_krBeeth-Stadionw,52.346359,4.867016
ABM01_S108_krS106-S108_krAmstelv-Stadionw,52.35734,4.854839
ABM01_S109_K-burgZN_krBuitenv-Nijerodew,52.315826,4.871067
ABM01_S109_krAmstelv-Nijerodew_krBuitenv-Nijerodew,52.327745,4.8575
ABM01_S109_krBeeth-Stadionw_krEblvrd-Kenlaan,52.346824,4.876938
ABM01_S109_krBuitenv-Nijenrodew_Strawinsky,52.327934,4.869046
ABM01_S109_krBuitenv-Nijerodew_krAmstelv-Nijerodew,52.32786,4.868869
ABM01_S109_krBuitenv-Nijerodew_krEblvrd-Nijerodew,52.327784,4.868835
ABM01_S109_krEblvrd-Boele_krEblvrd-Kenlaan,52.33466,4.890211
ABM01_S109_krEblvrd-Boele_krEblvrd-Nijerodew,52.334666,4.889786
ABM01_S109_krEblvrd-Kenlaan_krBeeth-Stadionw,52.340731,4.892537
ABM01_S109_krEblvrd-Kenlaan_krEblvrd-Boele,52.340852,4.892076
ABM01_S109_krEblvrd-Nijerodew_krBuitenv-Nijerodew,52.328792,4.889966
ABM01_S109_krEblvrd-Nijerodew_krEblvrd-Boele,52.328706,4.890042
ABM01_S112_GooisewZN_Waterloopl,52.338695,4.939262
ABM01_S112NZ_ZO_Bijlmerdreef,52.335858,4.943861
ABM01_S116_PC1031_S116NZ,52.391113,4.910639
ABM01_S116_PC1031_S116ZN,52.391121,4.910712
ABM01_S116_S116NZ_Waterloopl,52.388905,4.918204
ABM01_S116_S116ZN_litoeS116,52.391723,4.922342
ABM01_SR_1-4.a,52.324124,5.063323
ABM01_SR_1-D,52.324104,5.063405
ABM01_SR_1-E.a,52.324097,5.063432
ABM01_SR_2-B.a,52.26673,4.96163
ABM01_SR_2-C.a,52.266705,4.961644
ABM01_SR_2-C.b,52.266679,4.961658
ABM01_SR_2-G.b,52.266662,4.961668
ABM01_SR_2-I.a,52.266713,4.96164
ABM01_SR_3-6.a,52.266751,4.696236
ABM01_SR_3-B.b,52.266765,4.696255
ABM01_SR_3-D.a,52.266697,4.696159
ABM01_SR_4-6.b,52.378203,4.708565
ABM01_SR_4-C.a,52.378391,4.708535
ABM01_SR_4-D.a,52.378333,4.708303
ABM01_SR_4-D.b,52.378328,4.708545
ABM01_SR_4-E.b,52.378297,4.708308
ABM01_SR_5-6,52.437962,4.860982
ABM01_SR_5-D.a,52.437977,4.860965
ABM01_SR_5-D.b,52.43797,4.860973
ABM01_SR_5-G.a,52.437918,4.861032
ABM01_SR_6-5,52.421613,4.952594
ABM01_SR_6-C.a,52.421609,4.95258
ABM01_SR_6-C.b,52.42162,4.952621
ABM01_SR_6-E.b,52.421642,4.952613
ABM01_SR_6-I.a,52.421637,4.952601
ABM01_SR_E-6.a,52.335051,4.878877
ABM01_SR_F-6.a,52.307143,4.760457
ABM01_SR_F-6.b,52.307156,4.760495
ABM01_SR_G-4.a,52.320707,4.948048
ABM01_SR-C-6.a,52.359935,4.887233
ABM01_SR-C-6.b,52.358269,4.878586
ABM01_SR-D-6.a,52.348652,4.918519
ABM01_SR-D-6.b,52.348052,4.919289
ABM01_ZA_krAmstelv-Boele_krBuitenv-Boele,52.335113,4.857593
ABM01_ZA_krBeeth-Stadionw_krLeijenb-Boele,52.346932,4.876787
ABM01_ZA_krBuitenv-Boele_krAmstelv-Boele,52.335075,4.868956
ABM01_ZA_krBuitenv-Boele_krLeijenb-Boele,52.334995,4.868858
ABM01_ZA_krEblvrd-Boele_krLeijenb-Boele,52.33471,4.889864
ABM01_ZA_krLeijenb-Boele_krAmstelv-Stadionw,52.335094,4.857779
ABM01_ZA_krLeijenb-Boele_krBeeth-Stadionw,52.335119,4.8787
ABM01_ZA_krLeijenb-Boele_krBuitenv-Boele,52.335104,4.878522
ABM01_ZA_krLeijenb-Boele_krEblvrd-Boele,52.335037,4.878627
ABM01_ZA_krParn-Stadionw_krBuitenv-Boele,52.346368,4.867118
GAD01_MOA_Route002,52.3945694,4.86373615
GAD01_MOA_Route003,52.39301682,4.86999178
GAD01_MOA_Route004,52.38961411,4.89123487
GAD01_MOA_Route005,52.39262772,4.86272383
GAD01_MOA_Route006,52.39160919,4.84562397
GAD01_MOA_Route007,52.39131546,4.81939507
GAD01_MOA_Route008,52.38431168,4.81922817
GAD01_MOA_Route009,52.38485718,4.84713507
GAD01_MOA_Route010,52.38521576,4.88101578
GAD01_MOA_Route017,52.33785248,4.89221811
GAD01_MOA_Route018,52.35786819,4.90415478
GAD01_MOA_Route019,52.33784866,4.91071987
GAD01_MOA_Route021,52.33992386,4.93758297
GAD01_MOA_Route022,52.34830856,4.91968822
GAD01_MOA_Route023,52.34873199,4.91845417
GAD01_MOA_Route024,52.35988617,4.90863419
GAD01_MOA_Route028,52.37248993,4.93436193
GAD01_MOA_Route029,52.40599823,4.93696117
GAD01_MOA_Route030,52.3860054,4.91349888
GAD01_MOA_Route031,52.38674164,4.91467094
GAD01_MOA_Route032,52.36924362,4.90595102
GAD01_MOA_Route033,52.37612915,4.92155981
GAD01_MOA_Route038,52.39019775,4.88479185
GAD01_MOA_Route040,52.38486862,4.88147402
GAD01_MOA_Route041,52.37425613,4.8752718
GAD01_MOA_Route042,52.3739624,4.87499285
GAD01_MOA_Route043,52.36400604,4.87883997
GAD01_MOA_Route044,52.36355591,4.87895679
GAD01_MOA_Route045,52.36016083,4.88676786
GAD01_MOA_Route046,52.35998535,4.88705778
GAD01_MOA_Route047,52.35872269,4.9034071
GAD01_MOA_Route048,52.36022186,4.91063881
GAD01_MOA_Route049,52.36328125,4.92204189
GAD01_MOA_Route050,52.36390305,4.92344809
GAD01_MOA_Route051,52.37236023,4.93359089
GAD01_MOA_Route052,52.37638855,4.92144394
GAD01_MOA_Route053,52.38936234,4.89137793
GAD01_MOA_Route058,52.37319565,4.93317699
GAD01_MOA_Route059,52.37617111,4.92201185
GAD01_MOA_Route068,52.36621094,4.94481993
GAD01_MOA_Route071,52.36526871,4.94901991
GAD01_MOA_Route072,52.37038422,4.96226501
GAD01_MOA_Route074,52.3893013,4.96581984
GAD01_MOA_Route075,52.37230301,4.96243
GAD01_MOA_Route076,52.36596298,4.97517395
GAD01_MOA_Route077,52.35306549,4.99962282
GAD01_MOA_Route078,52.35270309,4.99969721
GAD01_MOA_Route090,52.34817123,4.91757584
GAD01_MOA_Route094,52.34700012,4.87932014
GAD01_MOA_Route095,52.35739899,4.85492992
GAD01_MOA_Route099,52.39197159,4.84307718
GAD01_MOA_Route100,52.3911438,4.81840801
GAD01_MOA_Route116,52.36043167,4.90861177
GAD01_MOA_Route118_L,52.31271362,4.9370718
GAD01_MOA_Route119_L,52.31549835,4.94574785
GAD01_MOA_Route11A,52.37210083,4.84440279
GAD01_MOA_Route11B,52.37466812,4.85907507
GAD01_MOA_Route120_M,52.32318497,4.95479202
GAD01_MOA_Route122_M,52.30722809,4.97152281
GAD01_MOA_Route123_M,52.29237366,4.945539
GAD01_MOA_Route124_M,52.31020355,4.9380641
GAD01_MOA_Route125_M,52.30121994,4.9459362
GAD01_MOA_Route12A,52.3741684,4.87490416
GAD01_MOA_Route12B,52.37459946,4.85800982
GAD01_MOA_Route131_L,52.33493423,4.869102
GAD01_MOA_Route132_M,52.33475876,4.889328
GAD01_MOA_Route133_L,52.32890701,4.89023685
GAD01_MOA_Route134_M,52.33684921,4.85740519
GAD01_MOA_Route135_L,52.33512497,4.87817717
GAD01_MOA_Route136_L,52.32803345,4.85758209
GAD01_MOA_Route138_L,52.33732605,4.89158297
GAD01_MOA_Route139_L,52.40017319,4.84789705
GAD01_MOA_Route13A,52.35783386,4.84547186
GAD01_MOA_Route13B,52.35778427,4.85597897
GAD01_MOA_Route140_R,52.38303375,4.84496593
GAD01_MOA_Route142_R,52.34088135,4.9523778
GAD01_MOA_Route143_L,52.3555336,4.96595478
GAD01_MOA_Route144_R,52.38028336,4.97297812
GAD01_MOA_Route145_L,52.40237045,4.95302582
GAD01_MOA_Route146_R,52.41695786,4.91632605
GAD01_MOA_Route14A,52.36373138,4.87871695
GAD01_MOA_Route14B,52.35810089,4.85212994
GAD01_MOA_Route15A,52.34215164,4.85775185
GAD01_MOA_Route15B,52.34889984,4.88363981
GAD01_MOA_Route16A,52.3599205,4.88656092
GAD01_MOA_Route27A,52.36840057,4.97089481
GAD01_MOA_Route27B,52.37233353,4.96168804
GAD01_MOA_Route36A_M,52.30881119,4.9703331
GAD01_MOA_Route37A,52.33610153,4.94339085
GAD01_MOA_Route37B_L,52.32220078,4.95822096
GAD01_MOA_Route54B,52.34680176,4.88040018
GAD03_1001_1002,52.298509,4.972871
GAD03_1001_2002,52.298514,4.972751
GAD03_1001_334,52.298715,4.97275
GAD03_1001_975,52.393136,4.867623
GAD03_1001_980,52.39322,4.867617
GAD03_1002_1001,52.301646,4.978552
GAD03_1002_2003,52.301497,4.978836
GAD03_1002_346,52.301564,4.978905
GAD03_1003_1008,52.316395,4.963817
GAD03_1003_1020,52.316299,4.963738
GAD03_1003_2004,52.3164,4.963864
GAD03_1004_1007,52.324318,4.956575
GAD03_1004_1008,52.324297,4.956434
GAD03_1004_317,52.324289,4.95661
GAD03_1005_1006,52.330221,4.951411
GAD03_1005_1007,52.330084,4.951284
GAD03_1006_1005,52.331295,4.950219
GAD03_1006_480,52.331427,4.95033
GAD03_1007_1004,52.325559,4.95535
GAD03_1007_1005,52.325814,4.955377
GAD03_1007_306,52.325593,4.955321
GAD03_1008_1003,52.320541,4.959886
GAD03_1008_1004,52.320731,4.959881
GAD03_1008_2005,52.320442,4.959946
GAD03_101_102-1,52.385014,4.881563
GAD03_101_132,52.385109,4.881385
GAD03_101_144,52.385022,4.881566
GAD03_101_906,52.385056,4.881649
GAD03_1010_1014,52.399077,4.92844
GAD03_1010_1015,52.398977,4.928761
GAD03_1010_2001,52.399086,4.928425
GAD03_1011_1013,52.391477,4.921734
GAD03_1011_1014,52.391434,4.922101
GAD03_1011_201,52.391493,4.921723
GAD03_1012_1013,52.38712,4.915552
GAD03_1012_402,52.387212,4.915341
GAD03_1013_1011,52.389236,4.919671
GAD03_1013_1012,52.389454,4.919146
GAD03_1013_201,52.389261,4.91972
GAD03_1014_1010,52.39531,4.924754
GAD03_1014_1011,52.395589,4.924541
GAD03_1014_2001,52.39531,4.924781
GAD03_1015_1010,52.403499,4.933905
GAD03_1015_225,52.403284,4.934524
GAD03_1015_239,52.403247,4.934471
GAD03_1016_1017,52.360584,4.911068
GAD03_1016_432,52.360519,4.911083
GAD03_1017_1016,52.359186,4.906395
GAD03_1017_1018,52.413584,4.878266
GAD03_1017_216,52.413292,4.879428
GAD03_1017_410-2,52.359148,4.906329
GAD03_1017_528,52.359275,4.906288
GAD03_1018_1017,52.409554,4.886966
GAD03_1018_1020,52.309936,4.969745
GAD03_1018_208,52.409731,4.886315
GAD03_1018_323,52.309917,4.969765
GAD03_1018_342-2,52.309964,4.969532
GAD03_1019_1020,52.409085,4.915605
GAD03_1019_1109,52.409074,4.915028
GAD03_1019-237,52.409285,4.914961
GAD03_1020_1003,52.313833,4.966226
GAD03_1020_1018,52.313843,4.966005
GAD03_1020_1019,52.410512,4.912401
GAD03_1020_1021,52.410356,4.912666
GAD03_1020_323-1,52.313848,4.965988
GAD03_102-1_101,52.384869,4.883338
GAD03_1021_1020,52.414564,4.911716
GAD03_102-1_102-2,52.384685,4.883036
GAD03_1021_230,52.414324,4.911746
GAD03_102-2_102-1,52.385369,4.88418
GAD03_1022_1023,52.38862,4.960511
GAD03_102-2_103,52.385199,4.883863
GAD03_1022_246-1,52.38872,4.959958
GAD03_1022_450,52.370795,4.962303
GAD03_1022_467,52.370419,4.962417
GAD03_1023_1022,52.392426,4.957134
GAD03_1023_244,52.391971,4.957492
GAD03_1024_1025,52.322801,4.974067
GAD03_1024_1131,52.322572,4.973432
GAD03_1024_340,52.322814,4.973444
GAD03_1025_1024,52.326299,4.970266
